Name=0523_01_02,05/23/2002 17:02:51,Fs=10kHz Spont,aneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T(ms),CH1(mV),CH2(mV),CH3(mV),CH4(mV),CH5(mV),CH6(mV),CH7(mV),CH8(mV),CH9(mV),CH10(mV),CH11(mV),CH12(mV),CH13(mV),CH14(mV),CH15(mV),CH16(mV),CH17(mV),CH18(mV),CH19(mV),CH20(mV),CH21(mV),CH22(mV),CH23(mV),CH24(mV),CH25(mV),CH26(mV),CH27(mV),CH28(mV),CH29(mV),CH30(mV),CH31(mV),CH32(mV),CH33(mV),CH34(mV),CH35(mV),CH36(mV),CH37(mV),CH38(mV),CH39(mV),CH40(mV),CH41(mV),CH42(mV),CH43(mV),CH44(mV),CH45(mV),CH46(mV),CH47(mV),CH48(mV),CH49(mV),CH50(mV),CH51(mV),CH52(mV),CH53(mV),CH54(mV),CH55(mV),CH56(mV),CH57(mV),CH58(mV),CH59(mV),CH60(mV),CH61(mV),CH62(mV),CH63(mV),CH64(mV)
1850.1,0.231238119,0.065222199,-0.092417483,-0.27237045,-0.751209583,-0.248667483,-0.395265245,0.186403331,0.038092907,0.079595907,0.192871,-0.157526921,-0.083702801,0.478014185,0.410818344,0.174390397,-0.000388053,0.008295093,-0.005998391,0.054487026,0.063751291,0.051544291,0.055457199,0.035731212,-0.003136801,0.005852172,0.003686384,0.009151424,0.002328238,0.007210238,-0.011042841,0,-0.013791669,0.005771868,-0.001195695,0.00674196,0.00546504,0.008407854,-0.002441,0.003912907,-0.007825815,-0.007517987,-0.000194066,0.002829053,0.005933397,-0.012513828,-0.006354907,-0.008100026,-0.013483921,-0.008714682,0.008682146,-0.002635066,0.002635987,0,-0.003411093,0.009490709,-0.001940185,0.001164079,-0.001664894,-0.006354907,-0.005352278,-0.002134252,-0.007405225,-0.001358146
1850.2,0.258166874,0.053087957,-0.148352212,-0.257067636,-0.74487144,-0.228918212,-0.668387964,0.123064762,0.035610487,0.113735487,0.185547,-0.155037417,-0.076306043,0.441474026,0.471983692,0.206273914,-0.005287222,0.008335513,-0.003298699,0.052078361,0.06142347,0.07118847,0.060411957,0.040678887,0.001818957,0.015658596,0.020928983,0.016653275,0.004866248,0.007307248,-0.006111334,0,-0.006330238,-0.001616805,-0.005925099,0.006717709,-0.001835709,0.003468265,-0.007324,-0.003452513,-0.005302974,-0.01485107,-0.000202152,-0.006920778,-0.008569086,-0.012424904,-0.003872487,-0.013015361,-0.013435417,-0.011010169,-0.001027265,-0.000202152,-0.00223893,0,-0.001010513,0.00937753,0.015068974,0.018302583,0.015457444,0.013217513,0.00917546,0.007542821,-0.000185318,0.003468265
1850.3,0.263122629,0.038512715,-0.17254794,-0.234439821,-0.733651298,-0.19940294,-0.751079682,0.054842192,0.052660066,0.123460066,0.158692,-0.162312914,-0.068909285,0.304836868,0.51361604,0.22595143,0.004462609,0.013257934,0.006725993,0.056993695,0.076184649,0.095715649,0.070250715,0.043184563,0.004332715,0.00837502,0.013758583,0.014390126,0.002522258,0.009846258,-0.006062828,0,-0.003750808,-0.004123477,0.001552497,0.006693457,0.010395543,0.000970675,-0.009765,0.003832066,-0.005222132,-0.002652152,0.004672762,0.002861391,0.00134143,0.00231202,0.001050934,-0.010606695,-0.003621914,0.001342344,0.001471325,-0.000210238,-0.002230848,-0.002441,-0.005933934,-0.000501649,0.002781132,0.001261086,-0.004042219,-0.011156066,-0.000711801,-0.007195106,-0.002732411,0.000970675
1850.4,0.250988384,0.038585474,-0.204067669,-0.233785007,-0.715106156,-0.157680669,-0.697053401,-0.045117377,0.037971646,0.130744646,0.124512,-0.179354411,-0.059070526,0.029038709,0.496656387,0.255393947,-0.00287856,0.008416354,-0.005222315,0.04726003,0.064090828,0.100711828,0.080089474,0.053015238,-0.005360526,-0.001350556,0.006588182,0.014567977,0.005060268,0.012384268,-0.001132321,0,-0.008496377,0.003136851,-0.000734907,0.011552205,0.007978795,0.000914086,0.004883,0.003791646,0.002182709,0.002222765,0.014430675,0.01508456,0.008810947,-0.002482056,-0.001350646,-0.00331503,-0.003573411,-0.005836142,0.006409914,-0.002659325,0.005101235,-0.009765,-0.010857354,0.004268172,0.005141291,0.003751589,0.000873119,-0.006233646,-0.000833063,-0.002401033,-0.005278503,-0.003968914
1850.5,0.243736139,0.028892232,-0.252677397,-0.220923192,-0.684354013,-0.106192397,-0.611289119,-0.118222947,0.052579225,0.138028225,0.092774,-0.203719907,-0.058997768,-0.33465045,0.394246735,0.248214464,-0.000452728,0.018221775,-0.002522623,0.061940364,0.071528007,0.117915007,0.104576232,0.072610914,0.002037232,0.013338868,0.016507781,0.029393828,0.019806278,0.017364278,0.001358185,0,-0.015682947,0.003072179,0.001859689,0.011527954,0.005562046,0.010622497,0.004883,0.006192225,-0.00261945,-0.002668318,0.011980589,0.007776728,-0.008132536,-0.004834132,-0.006193225,-0.005788364,-0.003524907,-0.005690629,0.001584503,-0.002667411,0.000226318,-0.004883,-0.008455775,-0.000728007,-0.00714655,-0.003524907,-0.003977543,-0.011075225,-0.003395325,-4.79603E-05,-0.005383596,0.000857497
1850.6,0.221836894,0.03140699,-0.284198126,-0.230033377,-0.668250871,-0.091326126,-0.554821838,-0.159588517,0.047655805,0.150194805,0.053711,-0.225644404,-0.07357401,-0.678807609,0.313809083,0.22638798,0.001972103,0.020704195,0.00017807,0.059531699,0.074083185,0.132676185,0.12662099,0.077558589,0.00455099,0.008496291,0.009336381,0.024689679,0.012579288,0.022344288,0.013613692,0,-0.017987517,0.000565507,0.004454285,0.013944702,0.008027298,0.005682907,0.009766,0.006151805,-0.004979609,-0.010000401,0.009531503,0.012675897,0.00177798,-0.002304209,0.006055195,0.008827301,-0.001034404,-0.000662116,0.008965093,-0.007558497,0.000234401,-0.012207,-0.008496195,-0.003282185,-0.007227391,-0.005917404,-0.006386205,-0.013476805,-0.008399586,-0.007461887,-0.015254689,-0.011406093
1850.7,0.214585649,0.036361748,-0.296186854,-0.217171563,-0.644822728,-0.078900854,-0.505678556,-0.166776086,0.057381384,0.172127384,0.019532,-0.218270901,-0.078384252,-0.859390768,0.27731743,0.216767497,0.004397934,0.023185616,-0.006888238,0.059564033,0.081520364,0.137672364,0.151107748,0.094713265,0.009506748,0.006094715,0.01925598,0.02486753,0.012676298,0.015117298,0.013662199,0,-0.017850086,-0.001940166,-0.007599119,0.00659645,0.00805155,-0.004138682,0,-0.003654616,-0.002457768,0.002198517,0.011964417,0.012692066,0.006806497,0.005109715,0.001212616,-0.005853033,-0.000985901,-0.002958603,0.004138682,-0.000242583,0.005125483,-0.004883,-0.006095616,-0.000954364,-0.002425232,0.003897099,0.000970132,-0.001229384,-0.001196848,0.002215185,-0.000710781,-0.009021682
1850.8,0.187802404,0.024227507,-0.300850583,-0.216516748,-0.645808586,-0.073799583,-0.463859275,-0.147106656,0.067105964,0.186734964,0,-0.230429397,-0.139346493,-0.917903927,0.253032778,0.190058013,0.001939765,0.018343036,0.000695454,0.062037368,0.084074543,0.142668543,0.165829507,0.10942594,0.004696507,0.008577139,0.016968579,0.032369381,0.020097308,0.015214308,0.001503705,0,-0.007946656,0.007760162,-0.000120523,0.009013199,0.008075801,0.008011728,0.002442,0.001187964,-0.007259927,-0.000250566,0.007074331,0.010266235,-0.005254987,-0.004567361,0.006136036,-0.013209368,-0.005820397,-0.007696089,-0.010452728,-0.007574669,-0.002190434,0,0.001187964,0.001374457,0.007259927,0.006386603,0.00832647,0.001253036,0.003564891,0.007009258,-0.000815874,-0.004195272
1850.9,0.185434159,0.024300265,-0.264011311,-0.196330934,-0.624822444,-0.061374311,-0.422039993,-0.144528225,0.067065543,0.194018543,-0.002441,-0.254795894,-0.241812735,-0.842139086,0.182361126,0.18043753,0.006806596,0.035473457,0.010719146,0.076718702,0.103719722,0.172078722,0.195199265,0.126580616,-0.002554735,0.003734563,0.024446179,0.027664232,0.025077318,0.020193318,0.011317212,0,-0.010250225,0.00769549,0.002474073,0.008988947,0.008100053,0.010396139,0.004883,0.006030543,-0.002296086,0.004624351,0.007066245,0.007841404,-0.00266847,-0.006919437,-0.001148543,-0.005917702,-0.008212894,0.002215424,-0.005514139,0.011948245,0.005141649,-0.004883,0.001147543,0.001261278,0.002296086,0.011318106,0.005917808,-0.003589543,0.001001629,0.004478331,-0.003362967,-0.009134861
1851,0.173299914,-0.007364977,-0.23937904,-0.212766119,-0.630691301,-0.07336304,-0.389986712,-0.168804795,0.074350123,0.189095123,0.012207,-0.291368391,-0.244180977,-0.712664245,-0.027470526,0.175700046,0.001907427,0.035513877,0.003653838,0.088958036,0.106273901,0.179515901,0.214803023,0.133970291,-0.002481977,0.015981987,0.022157778,0.040049083,0.030056328,0.032497328,0.016248719,0,-0.002788795,0.005189818,0.007510669,0.011406695,0.003241305,0.00301555,0.004883,-0.003775877,-0.007098245,0.002174268,0.011940159,0.010298573,0.012126046,0.000493487,-0.003549123,0.001373964,-0.010606391,-0.004963063,-0.01033955,-0.002707841,0.002708732,-0.007324,-0.006216877,0.006031099,-0.002667755,-0.003282391,0.010833146,-0.003549123,0.000880368,0.006831404,-0.01079206,-0.00675045
