Model Parameters: a, b, 1/eps, Lx, Ly, Lz, Dv = 0.8, 0.01, 50, 30, 30, 30, 0
Numerical Parameters: NX, NY, NZ, ts, delta = 41, 41, 41, 0.8, 0.001 
File written: Mon Sep 12 22:45:13 2011
Comments: 3D 





Ascii values of u and v follow
0 0.235858
0 0.234264
0 0.23339
0 0.229398
0 0.22145
0 0.212798
0 0.203057
0 0.194271
0 0.187418
0 0.181613
0 0.176591
0 0.172633
0 0.169872
0 0.168273
0 0.167752
0.989593 0.772453
0.873329 0.764814
0.0802273 0.723684
0.0131895 0.671958
0.00413531 0.593951
0.000295658 0.531065
9.94705e-05 0.469392
0 0.42009
0 0.382285
0 0.342692
0 0.318193
0 0.292159
0 0.272337
0 0.258072
0 0.24555
0 0.23608
0 0.227807
0 0.220555
0 0.216032
0 0.214089
0 0.213829
0 0.214691
0 0.216387
0 0.218519
0 0.220459
0 0.220941
0 0.217265
0 0.208221
0 0.198506
0 0.186921
0 0.177017
0 0.166707
0 0.157923
0 0.151161
0 0.144951
0 0.139692
0 0.13572
0 0.132938
0 0.130993
0 0.129804
0 0.129403
0.820975 0.767639
0.434801 0.754642
0.029409 0.702329
0.0113619 0.656631
0.00204455 0.576292
0.000214449 0.516847
7.64258e-05 0.462641
0 0.4103
0 0.377516
0 0.337362
0 0.315425
0 0.28885
0 0.270821
0 0.256464
0 0.244759
0 0.235565
0 0.227543
0 0.220497
0 0.21609
0 0.213819
0 0.212546
0 0.21177
0 0.211085
0 0.208537
0 0.200918
0 0.193667
0 0.183481
0 0.17217
0 0.15933
0 0.14849
0 0.138315
0 0.129591
0 0.12295
0 0.11665
0 0.111566
0 0.107891
0 0.104937
0 0.102559
0 0.100836
0 0.0998024
0 0.0994596
0.112348 0.736086
0.0514401 0.720824
0.0108253 0.672301
0.0064349 0.626196
0.000827032 0.561598
0.000154686 0.497807
4.95402e-05 0.453174
0 0.400382
0 0.370542
0 0.332008
0 0.311605
0 0.285342
0 0.269085
0 0.254747
0 0.243933
0 0.235069
0 0.22713
0 0.220029
0 0.215042
0 0.21174
0 0.2089
0 0.203858
0 0.194031
0 0.187485
0 0.175597
0 0.16351
0 0.149451
0 0.137362
0 0.125668
0 0.116238
0 0.107514
0 0.101063
0 0.0948896
0 0.0901355
0 0.0865009
0 0.0832414
0 0.0806036
0 0.0787309
0 0.0774625
0 0.0767585
0 0.0765265
0.011901 0.678986
0.00977449 0.669872
0.00758282 0.648179
0.00247256 0.583569
0.000317664 0.540852
0.000104637 0.47821
0 0.438288
0 0.392066
0 0.360602
0 0.327111
0 0.306471
0 0.281745
0 0.266998
0 0.252933
0 0.24296
0 0.234212
0 0.225729
0 0.217577
